engine,sl,ee,tp,is_sr,oos_sr,is_dd,oos_dd,is_calmar,oos_calmar,is_ret,oos_ret
close_only,0.01,0.005,0.05,3.214224659109791,2.8609843395605274,0.0497733137895131,0.0405871554610192,8.469159285323542,8.615658285227228,3.9717132042417536,0.74526045428043
close_only,0.01,0.005,0.08,3.230942497180884,2.8908551527437027,0.049773313789513,0.0407384022222658,8.525853547026712,8.674208523852585,4.016871437112771,0.7541281663281836
close_only,0.01,0.005,0.12,3.238397256975732,2.90202326582726,0.049795798352423,0.0404352158891805,8.552428541199081,8.794821306774015,4.0412480898192165,0.7595409513090963
close_only,0.015,0.005,0.0,3.2610861985531145,2.9276639798655637,0.0494716188090207,0.0404352158891804,8.67694408638489,8.894838053553988,4.096086746642712,0.7693019417677958
close_only,0.015,0.005,0.01,3.127630802855495,2.7599575278916086,0.0497733137895131,0.0410480425799253,8.183777496236585,8.164699682123588,3.749195951164469,0.7105044087350616
close_only,0.015,0.005,0.02,3.17247660409645,2.815618847986241,0.0497733137895131,0.0407442861046125,8.336045213372005,8.42163384050492,3.866931748360338,0.7295598600488944
close_only,0.015,0.005,0.03,3.20322129590276,2.847747760026006,0.049773313789513,0.0407384022222659,8.43526909701531,8.534820243512023,3.944870865327565,0.7404843002654153
close_only,0.015,0.005,0.05,3.229723864516995,2.8782666544485047,0.049773313789513,0.040587155461019,8.517564721056196,8.684446010660857,4.010249296618952,0.751970994553838
close_only,0.015,0.005,0.08,3.2427164296084543,2.904046139977218,0.049773313789513,0.040738058811149,8.56536668936894,8.724852274865986,4.048533412901494,0.7590903279598153
close_only,0.015,0.005,0.12,3.2499369567692096,2.91448786571206,0.049795798352423,0.0404352158891804,8.589684948377112,8.844708187988866,4.071224208614419,0.7644064743714418
close_only,0.02,0.005,0.0,3.267401886838406,2.9360423548657564,0.0494197104878413,0.0404352158891805,8.708003357804783,8.922089729905993,4.113742010756731,0.771965849913925
close_only,0.02,0.005,0.01,3.145778611577961,2.7852160891525526,0.0497214054683338,0.0410480425799254,8.253061188110319,8.248792276578913,3.7958424416314775,0.7187263085087092
close_only,0.02,0.005,0.02,3.1855550760997,2.8352683276197865,0.0497214054683337,0.0407442861046126,8.389569669291042,8.492844376805293,3.901982298426492,0.7365048968565262
close_only,0.02,0.005,0.03,3.2121208430085626,2.8644199577938787,0.0497214054683338,0.0407384022222659,8.475939487147375,8.58644679474476,3.9700789125631584,0.7455319740084918
close_only,0.02,0.005,0.05,3.237770000309975,2.891541398435811,0.0497214054683338,0.0405871554610192,8.552851695308318,8.725559692749947,4.031338425572675,0.755987486545519
close_only,0.02,0.005,0.08,3.250866090844029,2.913436665008448,0.0497214054683336,0.0407380588111492,8.60262167361293,8.755304399148462,4.071292564419477,0.7620815142318109
close_only,0.02,0.005,0.12,3.2564798496075604,2.9235205698245545,0.0497438900312437,0.0404352158891805,8.62158607123581,8.875009766585729,4.08972938502435,0.7673648480358781
close_only,0.03,0.005,0.0,3.2733510412529734,2.941377930862737,0.0494197104878413,0.0404352158891805,8.726988889306892,8.942353950270215,4.129054537441219,0.7739479187608698
close_only,0.03,0.005,0.01,3.1657080311664614,2.80712005969506,0.0497214054683336,0.0410480425799253,8.317875632343913,8.33694711790265,3.8460116840365712,0.7273649146796741
close_only,0.03,0.005,0.02,3.203100863669345,2.8589371299123654,0.0497214054683337,0.0405923714171213,8.443377765387353,8.61335702538277,3.944320095306777,0.745144046621665
